exchange,market_type,symbol_raw,leverage_max,price_usd,volume_24h_usd,open_interest_base,open_interest_usd,daily_snapshot
drift,CROSS,1KMEW-USD,4,2.48858,0.0,0.0,0.0,2025-10-16
drift,CROSS,1KPUMP-USD,5,3.81676,46195.366974,14374.0,54862.10824,2025-10-16
drift,CROSS,1KWEN-USD,4,0.035257,0.0,460.0,16.21822,2025-10-16
drift,CROSS,1MBONK-USD,10,15.1332,7055573.862456,85497.0,1293843.2004,2025-10-16
drift,CROSS,1MPEPE-USD,4,7.1877,17138.403543,9132.0,65638.0764,2025-10-16
drift,CROSS,2Z-USD,5,0.260349,539203.036551,477588.0,124339.558212,2025-10-16
drift,CROSS,ADA-USD,10,0.669366,413096.500721,615573.0,412043.636718,2025-10-16
drift,CROSS,AI16Z-USD,4,0.082422,0.0,7286.0,600.5266919999999,2025-10-16
drift,CROSS,APT-USD,10,3.544428,1337360.160088,69346.6,245794.03074480002,2025-10-16
drift,CROSS,ARB-USD,10,0.326804,14054.864545,245279.0,80158.158316,2025-10-16
drift,CROSS,ASTER-USD,10,1.288498,2643862.491039,885106.0,1140457.310788,2025-10-16
drift,CROSS,AVAX-USD,10,21.995492,378917.10579,24080.7,529666.8442044,2025-10-16
drift,CROSS,BERA-USD,5,1.859525,7406.777482,58886.8,109501.47677000001,2025-10-16
drift,CROSS,BNB-USD,10,1182.755816,248909.273142,866.68,1025070.81061088,2025-10-16
drift,CROSS,BREAKPOINT-USD,1,1e-06,0.0,0.0,0.0,2025-10-16
drift,CROSS,BTC-USD,101,110981.411761,76422133.679446,1048.6466,116380280.10637267,2025-10-16
drift,CROSS,CLOUD-USD,2,0.137832,63810.66068,743030.0,102413.31096,2025-10-16
drift,CROSS,DBR-USD,2,0.024672,0.0,0.0,0.0,2025-10-16
drift,CROSS,DEMOCRATS-USD,1,1e-06,0.0,0.0,0.0,2025-10-16
drift,CROSS,DOGE-USD,10,0.197327,67432.237913,7482002.0,1476401.008654,2025-10-16
drift,CROSS,DRIFT-USD,5,0.554799,777198.540207,4300140.0,2385713.3718600003,2025-10-16
drift,CROSS,DYM-USD,5,0.242627,0.0,547.0,132.716969,2025-10-16
drift,CROSS,ETH-USD,101,3995.793341,67437261.490561,16188.564,64686156.231552325,2025-10-16
drift,CROSS,FARTCOIN-USD,10,0.393278,1863779.584246,826706.0,325125.282268,2025-10-16
drift,CROSS,FED-USD,1,0.999999,0.0,0.0,0.0,2025-10-16
drift,CROSS,FWOG-USD,4,0.030393,0.0,347563.0,10563.482259,2025-10-16
drift,CROSS,GOAT-USD,4,0.078436,0.0,60.0,4.706160000000001,2025-10-16
drift,CROSS,HNT-USD,5,2.121049,90262.83723,126602.0,268529.04549800005,2025-10-16
drift,CROSS,HYPE-USD,10,37.654409,1715263.004125,110886.6,4175369.3890194003,2025-10-16
drift,CROSS,INJ-USD,10,9.018776,126916.94392,24944.5,224968.857932,2025-10-16
drift,CROSS,IO-USD,2,0.501698,0.0,20.0,10.03396,2025-10-16
drift,CROSS,IP-USD,5,6.105665,246849.719169,14996.3,91562.3840395,2025-10-16
drift,CROSS,JTO-USD,10,1.134033,649355.682308,464576.0,526844.5150080001,2025-10-16
drift,CROSS,JUP-USD,10,0.362952,907032.850623,6693460.0,2429404.69392,2025-10-16
drift,CROSS,KAITO-USD,5,1.089839,8542.186195,49634.0,54093.068926,2025-10-16
drift,CROSS,KAMALA-USD,1,1e-06,0.0,0.0,0.0,2025-10-16
drift,CROSS,KMNO-USD,2,0.061965,48901.661675,5220236.0,323471.92374,2025-10-16
drift,CROSS,LANDO-USD,1,0.999999,0.0,0.0,0.0,2025-10-16
drift,CROSS,LAUNCHCOIN-USD,4,0.079776,162726.908886,1139036.0,90867.735936,2025-10-16
drift,CROSS,LINK-USD,10,18.043403,260122.650945,38098.0,687417.5674940001,2025-10-16
drift,CROSS,LNDO-USD,1,1e-06,0.0,0.0,0.0,2025-10-16
drift,CROSS,LTC-USD,10,95.832416,197107.947127,181.22,17366.750427519997,2025-10-16
drift,CROSS,ME-USD,5,0.450759,0.0,45855.0,20669.553945,2025-10-16
drift,CROSS,MELANIA-USD,4,0.166519,0.0,0.0,0.0,2025-10-16
drift,CROSS,MICHI-USD,4,0.026661,0.0,272.0,7.251792,2025-10-16
drift,CROSS,MNT-USD,5,1.820155,2971917.974564,74280.0,135201.1134,2025-10-16
drift,CROSS,MOODENG-USD,4,0.142865,0.0,41719.0,5960.184934999999,2025-10-16
drift,CROSS,MOTHER-USD,4,0.006176,0.0,932638.0,5759.972288,2025-10-16
drift,CROSS,NBAFINALS25-USD,1,0.999999,0.0,29.0,28.999971,2025-10-16
drift,CROSS,NBAFINALS25-USD,1,1e-06,0.0,103.0,0.000103,2025-10-16
drift,CROSS,OP-USD,10,0.457799,18411.005142,62964.0,28824.856236,2025-10-16
drift,CROSS,PAXG-USD,10,4263.783915,2127114.805602,119.597,509935.764882255,2025-10-16
drift,CROSS,PENGU-USD,5,0.02331,163484.326384,7481180.0,174386.3058,2025-10-16
drift,CROSS,PNUT-USD,4,0.190529,0.0,226.0,43.059554,2025-10-16
drift,CROSS,POL-USD,10,0.196442,12601.195574,143803.0,28248.948926,2025-10-16
drift,CROSS,POPCAT-USD,4,0.158036,43217.22649,1672956.0,264387.274416,2025-10-16
drift,CROSS,PUMP-USD,5,0.005072,0.0,0.0,0.0,2025-10-16
drift,CROSS,PYTH-USD,10,0.118511,98974.625551,3204590.0,379779.16549000004,2025-10-16
drift,CROSS,RAY-USD,5,1.884432,188477.506399,251721.0,474351.107472,2025-10-16
drift,CROSS,RENDER-USD,10,2.706692,99164.349172,78849.0,213419.957508,2025-10-16
drift,CROSS,REPUBLICAN-USD,1,0.999999,0.0,0.0,0.0,2025-10-16
drift,CROSS,RLB-USD,5,0.067019,0.0,500.0,33.509499999999996,2025-10-16
drift,CROSS,SEI-USD,10,0.215168,33081.957998,973544.0,209475.515392,2025-10-16
drift,CROSS,SOL-USD,101,194.246885,145600203.666013,1778231.34,345415898.6043759,2025-10-16
drift,CROSS,SUI-USD,10,2.685475,3804841.858502,1333483.0,3581035.259425,2025-10-16
drift,CROSS,SUPERBOWL-USD,1,1e-06,0.0,0.0,0.0,2025-10-16
drift,CROSS,SUPERBOWL-USD,1,1e-06,0.0,0.0,0.0,2025-10-16
drift,CROSS,TAO-USD,5,407.742526,168330.667521,1931.46,787538.37926796,2025-10-16
drift,CROSS,TIA-USD,10,1.073004,89686.683123,148453.5,159291.199314,2025-10-16
drift,CROSS,TNSR-USD,5,0.070684,19620.194854,726022.0,51318.139048,2025-10-16
drift,CROSS,TON-USD,10,2.220598,12113.561628,8277.0,18379.889646,2025-10-16
drift,CROSS,TRUMP-USD,1,0.999999,0.0,0.0,0.0,2025-10-16
drift,CROSS,TRUMP-USD,10,6.075948,451814.589902,40959.2,248865.9693216,2025-10-16
drift,CROSS,VRSTPN-USD,1,0.999999,0.0,0.0,0.0,2025-10-16
drift,CROSS,W-USD,5,0.080098,103854.524799,1155284.0,92535.937832,2025-10-16
drift,CROSS,WARWICK-USD,1,1e-06,0.0,0.0,0.0,2025-10-16
drift,CROSS,WIF-USD,10,0.542975,10541155.40036,2097577.0,1138931.871575,2025-10-16
drift,CROSS,WLF-USD,1,0.999999,0.0,959.0,958.9990409999999,2025-10-16
