exchange,market_type,symbol_raw,leverage_max,price_usd,volume_24h_usd,open_interest_base,open_interest_usd,daily_snapshot
drift,CROSS,1KMEW-USD,4,2.89712,5.818866,18.0,52.148160000000004,2025-08-28
drift,CROSS,1KWEN-USD,4,0.034214,503.507677,388116.0,13279.000824,2025-08-28
drift,CROSS,1MBONK-USD,10,21.2251,2374128.50807,501203.8,10638100.77538,2025-08-28
drift,CROSS,1MPEPE-USD,4,10.1261,353.527771,13379.0,135477.0919,2025-08-28
drift,CROSS,ADA-USD,10,0.858691,58190.303951,440003.0,377826.616073,2025-08-28
drift,CROSS,AI16Z-USD,4,0.106745,9107.693841,483978.0,51662.23161,2025-08-28
drift,CROSS,APT-USD,10,4.379375,68714.168155,53138.2,232712.10462499998,2025-08-28
drift,CROSS,ARB-USD,10,0.508217,9737.257913,673059.0,342060.025803,2025-08-28
drift,CROSS,AVAX-USD,10,24.680001,508244.095069,23153.8,571435.8071538,2025-08-28
drift,CROSS,BERA-USD,5,2.563512,147176.762758,89358.0,229070.30529599998,2025-08-28
drift,CROSS,BNB-USD,10,855.784593,51523.034122,345.35,295545.20919255,2025-08-28
drift,CROSS,BREAKPOINT-USD,1,1e-06,0.0,0.0,0.0,2025-08-28
drift,CROSS,BTC-USD,101,111673.059962,204386686.312609,995.3789,111157007.58460961,2025-08-28
drift,CROSS,CLOUD-USD,2,0.075962,7488.805269,1699582.0,129103.647884,2025-08-28
drift,CROSS,DBR-USD,2,0.024672,0.0,0.0,0.0,2025-08-28
drift,CROSS,DEMOCRATS-USD,1,1e-06,0.0,0.0,0.0,2025-08-28
drift,CROSS,DOGE-USD,10,0.221088,302137.820453,5917194.0,1308220.5870720001,2025-08-28
drift,CROSS,DRIFT-USD,5,0.604953,1475518.170529,5847596.0,3537520.7429879997,2025-08-28
drift,CROSS,DYM-USD,5,0.242627,0.0,547.0,132.716969,2025-08-28
drift,CROSS,ETH-USD,101,4518.592351,208625973.853345,17273.69,78052763.50754519,2025-08-28
drift,CROSS,FARTCOIN-USD,10,0.815454,833486.921708,2127262.0,1734684.306948,2025-08-28
drift,CROSS,FED-USD,1,0.999999,0.0,0.0,0.0,2025-08-28
drift,CROSS,FWOG-USD,4,0.042551,4148.54952,3075944.0,130884.493144,2025-08-28
drift,CROSS,GOAT-USD,4,0.085522,7930.989562,464035.0,39685.20127,2025-08-28
drift,CROSS,HNT-USD,5,2.648642,8520.8298,82442.0,218359.34376400002,2025-08-28
drift,CROSS,HYPE-USD,10,48.109563,14746764.271202,163562.5,7868920.3981875,2025-08-28
drift,CROSS,INJ-USD,10,13.446323,120314.440164,45324.0,609441.143652,2025-08-28
drift,CROSS,IO-USD,2,0.607503,76.243358,63708.0,38702.801124,2025-08-28
drift,CROSS,IP-USD,5,6.039731,8525.867992,2662.1,16078.367895099998,2025-08-28
drift,CROSS,JTO-USD,10,2.01451,477048.25024,394438.0,794599.29538,2025-08-28
drift,CROSS,JUP-USD,10,0.503558,1143596.715994,9155146.0,4610147.009467999,2025-08-28
drift,CROSS,KAITO-USD,5,1.077809,114.88618,30796.0,33192.205964,2025-08-28
drift,CROSS,KAMALA-USD,1,1e-06,0.0,0.0,0.0,2025-08-28
drift,CROSS,KMNO-USD,2,0.056504,196430.016199,16013874.0,904847.9364959999,2025-08-28
drift,CROSS,LANDO-USD,1,0.999999,0.0,0.0,0.0,2025-08-28
drift,CROSS,LAUNCHCOIN-USD,4,0.050735,10108.815953,1006298.0,51054.529030000005,2025-08-28
drift,CROSS,LINK-USD,10,23.817587,1104326.758182,68061.5,1621060.6976005,2025-08-28
drift,CROSS,LNDO-USD,1,1e-06,0.0,0.0,0.0,2025-08-28
