exchange,market_type,symbol_raw,leverage_max,price_usd,volume_24h_usd,open_interest_base,open_interest_usd
hyperliquid,CROSS,ZEN-USD,5,7.5535,350160.0388340001,37984.1022254584,286912.91616
dydx,ISOLATED,ZEREBRO-USD,20,0.0265686714,0.0,0.0,0.0
hyperliquid,CROSS,ZEREBRO-USD,5,0.026385,638548.3923019996,56538003.03869624,1491755.2101760001
dydx,ISOLATED,ZETA-USD,20,0.1865906699,0.0,29390.0,5483.899788361
hyperliquid,CROSS,ZETA-USD,3,0.18505,199569.71935,2739088.0445285058,506868.24264
drift,CROSS,ZEX-USD,2,0.077934,0.0,14.0,1.0910760000000002
dydx,CROSS,ZK-USD,5,0.0621025158,14912.769,1363670.0,84687.337720986
hyperliquid,CROSS,ZK-USD,5,0.061465,1267436.2588770003,68781790.10526316,4227672.72882
dydx,CROSS,ZORA-USD,5,0.09668,0.0,2300.0,222.364
hyperliquid,CROSS,ZORA-USD,3,0.096402,11120718.779198,257878700.6816249,24860022.503110003
dydx,CROSS,ZRO-USD,5,1.940022396,1310.446,29242.0,56730.134903832004
hyperliquid,CROSS,ZRO-USD,5,1.9225,1903943.2801099992,3063117.474590377,5888843.3449
dydx,ISOLATED,ZRX-USD,20,0.24,0.0,11290.0,2709.6
